dataset_id	gsm_id	description	filename	run_id	sra_filename	input
Banaszynski_2013	GSM1033646	ESC_Control_Catch-it	2013_Banaszynski_Control_Catch-it	SRR612136	SRR612136.sra	-
Bunch_2014	GSM1173367	Input_WT_rep1	Bunch_Input_WT_rep1	SRR921461	SRR921461.sra	-
Bunch_2014	GSM1173368	Input_WT_rep2	Bunch_Input_WT_rep2	SRR921462	SRR921462.sra	-
Bunch_2014	GSM1173371	Total_PolII_WT_rep1	Bunch_Total_PolII_WT_rep1	SRR921465	SRR921465.sra	Bunch_Input_WT_rep1
Bunch_2014	GSM1173372	Total_PolII_WT_rep2	Bunch_Total_PolII_WT_rep2	SRR921466	SRR921466.sra	Bunch_Input_WT_rep2
Bunch_2014	GSM1173375	S2_PolII_WT_rep1	Bunch_S2_PolII_WT_rep1	SRR921469	SRR921469.sra	Bunch_Input_WT_rep1
Bunch_2014	GSM1173376	S2_PolII_WT_rep2	Bunch_S2_PolII_WT_rep2	SRR921470	SRR921470.sra	Bunch_Input_WT_rep2
Ha_2014	GSM1554543	mES-H3.3HA-0hr	Ha2014_ESC_H33_0hr	SRR1663154	SRR1663154.sra	-
Ha_2014	GSM1554544	mES-H3.3HA-6hr	Ha2014_ESC_H33_6hr	SRR1663157	SRR1663157.sra	-
Ha_2014	GSM1554545	mES-H3.3HA-12hr	Ha2014_ESC_H33_12hr	SRR1663158	SRR1663158.sra	-
Ostapcuk_2018	GSM2582363	ChIPseq for HP1a in wt mES cells, rep1	ESC_HP1a_R1	SRR5456871	SRR5456871.sra	-
Ostapcuk_2018	GSM2582364	ChIPseq for HP1a in wt mES cells, rep2	ESC_HP1a_R2	SRR5456872	SRR5456872.sra	-
Ostapcuk_2018	GSM2582365	ChIPseq for HP1a in wt mES cells, rep3	ESC_HP1a_R3	SRR5456873	SRR5456873.sra	-
Ostapcuk_2018	GSM2582369	ChIPseq for HP1b in wt mES cells, rep1	ESC_HP1b_R1	SRR5456877	SRR5456877.sra	-
Ostapcuk_2018	GSM2582370	ChIPseq for HP1b in wt mES cells, rep2	ESC_HP1b_R2	SRR5456878	SRR5456878.sra	-
Ostapcuk_2018	GSM2582371	ChIPseq for HP1b in wt mES cells, rep3	ESC_HP1b_R3	SRR5456879	SRR5456879.sra	-
Ostapcuk_2018	GSM2582375	ChIPseq for HP1g in wt mES cells, rep1	ESC_HP1g_R1	SRR5456883	SRR5456883.sra	-
Ostapcuk_2018	GSM2582377	ChIPseq for HP1g in wt mES cells, rep3	ESC_HP1g_R3	SRR5456885	SRR5456885.sra	-
Yildirim_2014	GSM1386358	H3.3 3 hrs	2014_Rando_H33_P3.mm9	SRR1287013	SRR1287013.sra	-
Yildirim_2014	GSM1386359	H3.3 6 hrs	2014_Rando_H33_P6.mm9	SRR1287014	SRR1287014.sra	-
