Start	Stop	Gene	ESC_WT.bam
8825	12218	REP_L1_Mur3	1
20330	26511	REP_L1Md_T	10
26513	28652	REP_IAPEz-int	1
28670	30982	REP_IAPEz-int	0
32460	37027	REP_L1Md_F	1
42848	46713	REP_RLTR6-int	1
49769	56848	REP_L1Md_F2	1
66697	69141	REP_Lx2	0
81112	87152	REP_L1Md_F2	1
88754	95165	REP_L1Md_A	6
99287	102837	REP_Lx3_Mus	0
106946	109724	REP_L1_Rod	0
111032	114087	REP_L1Md_A	1
114089	123246	REP_L1Md_F2	1
124412	127858	REP_L1_Mur1	0
134472	136948	REP_L1_Mm	0
144393	147345	REP_RMER17A-int	5
174523	177916	REP_L1_Mur3	1
190413	194194	REP_L1_Mus1	0
194200	196966	REP_RLTR45-int	0
197232	199597	REP_MusHAL1	0
202430	204795	REP_RNERVK23-int	0
215432	218236	REP_MuRRS4-int	0
220452	227829	REP_RLTR45-int	3
228592	230994	REP_Lx2B	0
237814	241297	REP_Lx5	0
250949	252979	REP_Lx5	5
266263	268815	REP_ETnERV-int	4
280678	285392	REP_L1Md_F3	5
289408	300274	REP_IAPEY3-int	2
311741	314214	REP_ORR1A3-int	1
322447	326867	REP_IAPEz-int	5
334969	341854	REP_L1Md_T	9
372148	374185	REP_ORR1A1-int	22
382768	385210	REP_Lx4B	101
403316	406423	REP_ORR1A3-int	3
414429	416901	REP_ORR1A0-int	4
427696	431211	REP_L1_Mur1	9
446817	453991	REP_RMER17C-int	8
456406	463052	REP_L1Md_T	54
479285	484763	REP_Lx4B	1
518222	521077	REP_Lx6	3
526132	531812	REP_L1Md_T	3
536164	542909	REP_L1_Mus2	1
565254	571962	REP_L1_Mur2	1
609280	613627	REP_MMERVK10C-int	1
624153	626200	REP_L1_Mus4	0
657264	659888	REP_L1Md_F2	0
694109	697045	REP_L1_Mm	2
711043	716938	REP_MERVL-int	2
734196	743045	REP_L1_Mus2	2
751116	756168	REP_L1Md_F2	0
756170	763956	REP_L1_Mus1	0
804057	810809	REP_L1Md_A	3
810894	820184	REP_L1Md_T	17
823484	827464	REP_L1Md_F2	0
829600	835730	REP_L1Md_F	0
836957	843142	REP_L1Md_A	7
862912	868932	REP_L1Md_T	2
874784	883893	REP_L1Md_F2	1
884569	891322	REP_L1Md_A	2
891406	900691	REP_L1Md_T	18
905661	908020	REP_L1Md_F	0
910148	916279	REP_L1Md_F	0
917507	923692	REP_L1Md_A	3
943405	949425	REP_L1Md_T	6
955289	967331	REP_L1Md_F2	0
973838	980011	REP_L1Md_A	0
986338	992114	REP_L1_Mus3	0
993479	998218	REP_L1Md_F2	0
998443	1000610	REP_L1Md_F3	0
1007967	1014059	REP_L1_Mus1	0
1027305	1033614	REP_L1Md_F3	0
1034098	1040444	REP_L1Md_F3	0
1045198	1050889	REP_L1Md_F2	0
1050893	1060502	REP_L1Md_T	4
1075977	1080315	REP_MMERVK10C-int	0
1090418	1093149	REP_L1_Mus1	2
1100403	1102858	REP_L1Md_A	0
