	ESC_WT.bam	Copies	length	RPK	TPM
REF_NR_105744	20088	1	123	163317.0732	46554.15619
REF_NR_030451	9645	1	96	100468.75	28639.00136
REF_NM_010106	218815	1	3271	66895.44482	19068.80234
REF_NM_008302	219264	1	5484	39982.49453	11397.16295
REF_NR_035409	3919	1	109	35954.12844	10248.86179
REF_NM_012053	67752	1	2248	30138.79004	8591.177343
REF_NM_018853	29920	1	1228	24364.82085	6945.285348
REF_NM_031165	94232	1	3927	23995.92564	6840.130359
REF_NM_007393	85265	1	3640	23424.45055	6677.229199
REF_NM_025274	26798	1	1146	23383.94415	6665.682696
REF_NM_010480	120252	1	5360	22435.07463	6395.203809
REF_NM_010240	40025	1	1943	20599.58827	5871.991403
REF_NM_007907	121027	1	5879	20586.3242	5868.210432
REF_NM_018860	21437	1	1059	20242.68178	5770.253843
REF_NM_011655	87189	1	4382	19897.07896	5671.738439
REF_NR_002875	17535	1	931	18834.58647	5368.870891
REF_NM_011664	33378	1	2043	16337.73862	4657.134865
REF_NM_008503	27187	1	1865	14577.47989	4155.366384
REF_NR_102704	9776	1	676	14461.53846	4122.316836
REF_NM_011654	42260	1	2960	14277.02703	4069.721146
REF_NM_008972	56229	1	3963	14188.49357	4044.484344
REF_NM_009482	17517	1	1257	13935.56086	3972.384909
REF_NM_011865	21747	1	1669	13029.95806	3714.239368
REF_NM_008143	75354	1	5882	12810.94866	3651.809901
REF_NM_024212	65634	1	5176	12680.44822	3614.610253
REF_NM_008630	11988	1	950	12618.94737	3597.079199
REF_NM_001313923	35136	1	2809	12508.36597	3565.557548
REF_NM_018796	45684	1	3656	12495.62363	3561.925297
REF_NR_003363	23896	1	2040	11713.72549	3339.042242
REF_NM_011588	74353	1	6881	10805.55152	3080.163778
REF_NM_007475	44898	1	4263	10532.0197	3002.192489
REF_NR_046233	60178	1	5833	10316.8181	2940.84845
REF_NM_009095	41189	1	4376	9412.477148	2683.062602
REF_NM_016774	66231	1	7082	9352.019204	2665.828834
REF_NM_013602	11562	1	1239	9331.719128	2660.04222
REF_NM_010798	8377	1	898	9328.507795	2659.126817
REF_NM_021278	19641	1	2125	9242.823529	2634.702189
REF_NM_012052	53641	1	5813	9227.765354	2630.409799
REF_NM_019639	35906	1	4053	8859.116704	2525.325092
REF_NM_007687	31465	1	3577	8796.477495	2507.469546
REF_NM_009091	14699	1	1684	8728.622328	2488.127171
REF_NM_009052	13111	1	1542	8502.594034	2423.696941
REF_NR_030465	913	1	109	8376.146789	2387.652671
REF_NM_001177308	43190	1	5214	8283.467587	2361.23411
REF_NM_029767	23520	1	2857	8232.411621	2346.680411
REF_NM_011072	22628	1	2804	8069.900143	2300.355893
REF_NM_010880	112012	1	14737	7600.732849	2166.617962
REF_NM_013633	35420	1	4746	7463.126844	2127.392844
REF_NM_011291	22586	1	3139	7195.285123	2051.043537
REF_NM_001163434	31550	1	4440	7105.855856	2025.551383
REF_NM_009696	20881	1	2945	7090.322581	2021.123563
REF_NM_001166593	36888	1	5247	7030.30303	2004.014761
REF_NM_011358	22275	1	3198	6965.290807	1985.482778
REF_NM_008211	17037	1	2544	6696.933962	1908.986633
REF_NM_007451	20894	1	3212	6504.98132	1854.269799
REF_NM_008562	28674	1	4459	6430.589818	1833.064217
REF_NM_026242	12094	1	1888	6405.720339	1825.975077
REF_NM_009429	19123	1	3048	6273.950131	1788.413475
REF_NM_018754	10061	1	1613	6237.445753	1778.007763
REF_NM_007505	53584	1	9101	5887.704648	1678.312723
REF_NM_011653	21463	1	3655	5872.229822	1673.901565
REF_NM_011029	26752	1	4604	5810.599479	1656.3336
REF_NM_010807	13892	1	2401	5785.922532	1649.299342
REF_NM_001304528	12007	1	2085	5758.752998	1641.554562
REF_NR_073181	25852	1	4512	5729.609929	1633.247219
REF_NM_013725	10968	1	2002	5478.521479	1561.673496
REF_NM_016805	50477	1	9485	5321.771218	1516.991235
REF_NM_010495	6141	1	1160	5293.965517	1509.065114
REF_NM_182650	49557	1	9460	5238.58351	1493.278261
REF_NM_025589	6803	1	1334	5099.70015	1453.689028
REF_NM_007591	24643	1	4844	5087.324525	1450.161309
REF_NM_011287	12766	1	2563	4980.881779	1419.819397
REF_NM_009094	22049	1	4451	4953.718266	1412.076333
REF_NM_009903	8884	1	1812	4902.869757	1397.581772
REF_NM_175102	3587	1	734	4886.920981	1393.035512
REF_NM_029872	12975	1	2678	4845.033607	1381.095356
REF_NR_002687	7452	1	1550	4807.741935	1370.465222
REF_NM_016750	11697	1	2436	4801.724138	1368.749826
REF_NM_009750	8286	1	1726	4800.695249	1368.456538
REF_NM_001287180	11208	1	2362	4745.131245	1352.617806
REF_NM_009098	10845	1	2297	4721.375707	1345.846199
REF_NM_025378	5389	1	1155	4665.800866	1330.004378
REF_NM_009391	19135	1	4166	4593.134902	1309.290667
REF_NM_144958	24979	1	5488	4551.567055	1297.441593
REF_NM_008160	5735	1	1263	4540.77593	1294.365542
REF_NM_175015	13053	1	2880	4532.291667	1291.94707
REF_NM_010436	6141	1	1359	4518.763797	1288.090899
REF_NM_025974	14132	1	3137	4504.941026	1284.150665
REF_NM_030694	5048	1	1123	4495.102404	1281.346129
REF_NM_008907	17595	1	3941	4464.602893	1272.652126
REF_NM_011296	16092	1	3643	4417.23854	1259.150736
REF_NM_009870	15994	1	3680	4346.195652	1238.899689
REF_NM_013765	8593	1	1978	4344.287159	1238.355666
REF_NM_010219	36930	1	8525	4331.964809	1234.843133
REF_NM_009438	13699	1	3183	4303.801445	1226.815059
REF_NM_001199270	8760	1	2052	4269.005848	1216.896441
REF_NM_008945	11114	1	2635	4217.836812	1202.310511
REF_NM_013560	6910	1	1645	4200.607903	1197.399345
REF_NM_009096	13695	1	3269	4189.354543	1194.191532
REF_NM_001078167	26358	1	6385	4128.112764	1176.734328
REF_NR_036572	2864	1	697	4109.038737	1171.297204
REF_NR_002890	11269	1	2752	4094.840116	1167.249833
REF_NM_001252260	43654	1	10709	4076.38435	1161.988946
REF_NM_008774	53664	1	13316	4030.039051	1148.778041
REF_NR_002883	6852	1	1733	3953.837276	1127.056434
REF_NM_052835	9136	1	2320	3937.931034	1122.522299
REF_NM_025567	9395	1	2412	3895.107794	1110.315371
REF_NM_011290	18454	1	4741	3892.427758	1109.551416
REF_NM_001040131	57463	1	15046	3819.154593	1088.66462
REF_NM_025403	3698	1	973	3800.61665	1083.380309
REF_NM_133796	16662	1	4386	3798.905609	1082.89257
REF_NM_001253883	87182	1	23008	3789.203755	1080.127019
REF_NR_002862	12107	1	3224	3755.272953	1070.454914
REF_NR_002702	3689	1	986	3741.37931	1066.494479
REF_NM_011562	24274	1	6551	3705.38849	1056.235158
REF_NM_001025427	26109	1	7099	3677.84195	1048.382911
REF_NR_130974	9620	1	2617	3675.964845	1047.847835
REF_NR_033594	3814	1	1040	3667.307692	1045.380081
REF_NM_024175	5870	1	1611	3643.699565	1038.650494
REF_NM_010699	35514	1	9824	3615.02443	1030.476537
REF_NM_013721	8991	1	2505	3589.221557	1023.121329
REF_NM_001109746	30409	1	8492	3580.89967	1020.749144
REF_NM_026499	20054	1	5613	3572.777481	1018.433882
REF_NM_212457	4942	1	1393	3547.738693	1011.29648
REF_NM_007840	28758	1	8139	3533.357906	1007.197182
REF_NR_002840	11848	1	3372	3513.641756	1001.577018
REF_NR_104427	22073	1	6302	3502.538877	998.4120996
